id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
mbs1,2019,43.064119139,-116.7489159,2019-07-15,99.56,55.89,1198.52,mbs,peak production,,,circular,60,155.45,0.5201943261666825,9.83657522259974,0.18598893000398567,0.2283026880838693,0.1472386189606562,0.28118100239379706,27.61569958796254,0.20648761799478438,0.5651281319354174,0.5492386534140387,0.014864978178915734,-0.03951111401098983,0.27849426906122854,0.30498631686431493,0.08905548861464596,-0.18601233974700643,151.38674920360933,167.27478216014018,125.77349338183336,183.7685861990242,123.40943907254525,114.10243665989887,405.70440214883587,645.8968487477539,677.1453705167287,2144.939727396899,2321.6594960242282,1596.4499472203947
mbs2,2019,43.072781143,-116.7701807,2019-07-15,49.03,45.23,911.02,mbs,peak production,,,circular,60,94.25999999999999,0.5949845156896798,9.558802423489402,0.2330351502125838,0.23724699034570423,0.2709311387964056,0.3335129705439044,32.503480596531176,0.2582632938457573,0.5595566028010163,0.568560793073843,-0.0061863154327317805,0.040826592027276724,0.3320953620901297,0.3031075373329994,0.11633239636080474,-0.1625383540951854,146.52651804116252,167.17393330572577,116.50934942020032,189.34561708009446,114.0441135604402,104.66357512871842,351.2653498089793,619.8950712447787,604.5457515282919,2381.412417986524,2194.321026716099,1367.493098931999
mbs3,2019,43.071059894,-116.769988,2019-07-15,51.91,73.72,515.89,mbs,peak production,,,circular,60,125.63,0.590322814087124,8.945304227921543,0.21067248693010818,0.23410752936164098,0.23421655424429993,0.3213351478102131,31.510654506239213,0.2451958483676729,0.5638385183445322,0.5740235800276924,-0.007637971256181167,0.024970719316861414,0.31934509112241677,0.2945560659976887,0.10831548239917413,-0.16536161253185477,148.41364448599623,168.81641436632398,119.61730168570575,190.22982854134617,117.13510493742226,107.44754489480258,346.80603154159445,602.4976148318934,584.9452856514312,2268.679209370325,2158.1215305804635,1408.6843397270818
mbs4,2019,43.073200952,-116.761991,2019-07-16,66.35,37.62,448.19,mbs,peak production,,,circular,60,103.97,0.5532503371760269,9.433185011458056,0.19674641954715918,0.22573981611827765,0.2122336345886084,0.313964143819756,30.524181747335415,0.24058745574713747,0.5491185269043958,0.5424189837963078,0.005750544673806803,0.016416350484324944,0.31442583616868053,0.316328663622313,0.10666947832606462,-0.17610444017555996,148.523891211558,166.5967027884413,119.4501438578533,185.85978783926896,116.98071278376729,107.79958406495813,407.13413413194513,666.761120268812,680.262935163313,2365.636121765256,2288.523696663276,1537.3257189967242
mbs5,2019,43.07346037,-116.7602584,2019-07-16,59.26,49.85,1004.04,mbs,peak production,,,circular,60,109.11,0.5457081203269425,10.139940355117186,0.20900333667937676,0.2205186195962405,0.22741944351357224,0.3071090081975601,29.90691750684817,0.23445017368138973,0.5378817029828132,0.5323298935699393,0.005110006574724497,0.019671196199965664,0.30708475512501443,0.3108020518944153,0.1040744989730023,-0.16828438073505886,147.56334732537834,165.87146081259098,119.74788690375901,185.50509185393386,117.39067132324128,108.08297409646345,409.23508720232536,671.4668132235154,682.6714694383255,2322.9360531251323,2233.222920582052,1462.673649516622
wbs1,2019,43.168158005,-116.7130521,2019-06-03,9.19,47.03,277.71,wbs,peak production,,,circular,60,56.22,0.3213188445347254,12.258787566915073,0.13584131705680177,0.1662831515835083,0.02251844242391051,0.1852818284507895,17.966739789946747,0.1197764094320068,0.4843249844278254,0.4192950408015528,0.0775159015926636,-0.11360145607947904,0.18411680704624916,0.3553087068821037,0.04758050353006063,-0.21109676535686092,149.99363365685954,157.2549847453437,136.1662559179586,165.42239029151983,135.31121395345255,128.90345210259306,641.8408576098155,904.4970981922714,1066.273210982382,2073.3112875606053,2596.653269744253,1977.3220789391626
wbs2,2019,43.170171842,-116.7223203,2019-06-03,16.45,48.27,188.39,wbs,peak production,,,circular,60,64.72,0.29603110002437016,11.747556060651739,0.12150933987786869,0.1550669187281792,-0.0042648613677535455,0.1665860319370975,16.227364159164093,0.1005303087209518,0.4801855497684468,0.406342065683897,0.09143052814872435,-0.12563882722540493,0.16348489790499,0.34323622801599357,0.03931444793404741,-0.20664689348948406,150.80633991993545,156.59266349989508,139.5160964246782,163.25963371051844,139.0058884763461,133.58439505844956,624.9104092511063,880.5181977421163,1058.717655051606,1949.894211032385,2504.1328159871664,1962.712227573477
wbs3,2019,43.17160272,-116.7223271,2019-06-04,13.77,33.75,360.68,wbs,peak production,,,circular,60,47.519999999999996,0.2839092193143679,11.742054212862877,0.1179459065131079,0.14358288934467556,-0.0003772084228309166,0.15847143658183738,15.461528112401044,0.09273045568565966,0.46638434122853434,0.3889323390382181,0.09656645554940904,-0.11825999582106635,0.15447981131985924,0.33669996024783994,0.03662674343872149,-0.19743080533885088,149.8914954494749,155.44250698846812,140.15960582844238,161.96841256570372,139.9532701820145,134.97687726029883,619.8875503659862,879.4420819270081,1063.6002794198203,1907.066491187448,2412.571321169697,1904.5488953440793
wbs4,2019,43.170576769,-116.7170546,2019-06-04,16.89,29.41,342.15,wbs,peak production,,,circular,60,46.3,0.287768614221362,12.240573110727615,0.12506627518999983,0.15001862946406677,0.007701240346277143,0.16825076316122917,16.267121991778556,0.10138286505098677,0.4699853810900563,0.3920220675538775,0.09659301807805401,-0.11745120581074293,0.16497296325972993,0.3627262760329132,0.040749504177796256,-0.21263984709274125,148.32870162503824,153.86422860214853,137.46838156231877,160.56354399786176,137.19638184097536,132.15783146290667,662.6351608334871,942.6325242759286,1142.351262323374,2062.7609025066263,2612.2367070620567,2034.7858213384584
wbs5,2019,43.172316258,-116.7162871,2019-06-04,20.28,52.4,435.97,wbs,peak production,,,circular,60,72.68,0.27938425704225,12.043740742673808,0.11997824075053001,0.154620521214073,-0.017407577688443074,0.16157957575224804,15.653427832908985,0.09549194008526825,0.4782804098570821,0.401068506016297,0.0982852359473146,-0.1370994151882916,0.15868938103176322,0.36150226253198253,0.03655637178461285,-0.21945448312145555,149.7485290634367,154.97937771193804,139.63536159177025,161.26070457924433,139.3945713153472,134.54286493925275,665.2996278699385,936.098302009374,1134.3242111937793,2012.2074189579153,2650.6056023349647,2084.2990608505124
