ID,Pasture,Treatment,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,long,lat,PP_g,ID_yr,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
32,I,IMP,2021-10-05,2021-10-05,2021,10,73.0,81,3320.0,-81.2085,27.1805,83,32_2021,0.7193310369802919,8.712377883996309,0.3656161830856861,0.2884463638930962,0.4781645686930956,0.43770415586143835,42.02161283988123,0.35986890497850765,0.6242612880412678,0.6489113887475616,-0.013884549362985079,0.1367205312825454,0.43765327947270866,0.31478438566747385,0.17579282000701246,-0.14176790257754973,142.91681755698954,166.15920247277978,100.18968808302563,191.3134915098011,97.26443847559845,89.34858440473259,238.52918011079788,520.3421853675878,479.40088238358834,2934.1374220572247,2223.8902438509613,1036.4802904536311
32,I,IMP,2021-03-09,2021-03-09,2021,3,16.0,17.33333333,376.0,-81.2085,27.1805,9.4,32_2021,0.6706768656468386,7.91721149425368,0.25298396926982375,0.31151020662846374,0.24179438890769403,0.38243139646126645,37.153781280062134,0.32138801888903834,0.5977011029402057,0.6778579680344513,-0.0588270669541203,-0.010521809057071634,0.4010547879181744,0.3264820381875544,0.1318437664867738,-0.20114462591547155,145.50249281344128,178.53962781030629,114.57110709259493,211.80347483028066,112.18467037463348,101.83712778778106,363.911892088176,657.2446349310136,500.0853100542261,2561.6906170560287,2600.6783748993234,1553.7352595451364
32,I,IMP,2021-06-17,2021-06-17,2021,6,18.0,22.66666667,820.0,-81.2085,27.1805,20.5,32_2021,0.7116107280562697,8.48489316583595,0.34044036525315174,0.24365103772678592,0.5084827091782173,0.43766792668165366,41.97046790954469,0.3801493633437032,0.4991403322588957,0.5899205760643451,-0.04932013023984048,0.20926665791197266,0.4525710007043705,0.3188911851962166,0.17404461671630633,-0.12009023122177628,136.24740812016626,169.01713650905896,99.63209819982245,205.8775462202185,97.30997564781921,88.40804395607924,312.23867819955024,655.8835583133472,507.7278080305055,2987.151879555365,2001.564918966289,1006.1810272056107
32,I,IMP,2021-08-09,2021-08-09,2021,8,41.0,58.66666667,3176.0,-81.2085,27.1805,79.4,32_2021,0.73574385109587,8.228236440879478,0.36967482874586144,0.22109666522665578,0.5680637456727183,0.42657244690638785,41.29876514853962,0.34945854093123785,0.5196748381904788,0.5934150843495576,-0.03613631420976664,0.2515897272540072,0.424769890919293,0.27444945745038507,0.16779164215659975,-0.08925641847218121,138.73714561232816,166.76479965484444,100.9959522229909,197.73887606349302,98.38398467302494,89.51091778241117,212.63377697042543,518.0134524278408,418.4191957302629,2737.320840774816,1632.5973406125756,751.2350531120668
32,I,IMP,2021-04-13,2021-04-13,2021,4,10.0,11.66666667,352.0,-81.2085,27.1805,8.8,32_2021,0.6908377336377566,8.358884982997253,0.2962587091768372,0.28414986750870946,0.3967989975857015,0.4325791667006533,41.353124967785675,0.39034761777755533,0.5156147084703164,0.6264750076105173,-0.07145038835638681,0.11387609767424062,0.45660453564292347,0.34961530562027,0.1665580718024048,-0.16158828220758328,133.50152457797844,172.45574603024207,102.22915145508527,216.46544481229662,100.50103361244905,90.87560775364518,372.98430118263093,771.1727790558459,554.1882426298591,3029.8690071791743,2409.246917435225,1307.2887654477017
33,I,IMP,2021-10-05,2021-10-05,2021,10,51.0,54.66666667,5280.0,-81.2104,27.1804,132,33_2021,0.7475484646638502,8.03867167662268,0.38597756789192883,0.2855675324873397,0.5517546302728797,0.48903272110227064,46.48802771914118,0.42923655615524947,0.5883931141376686,0.6377709116503449,-0.024515773826309397,0.2109725737648654,0.49681321170282,0.3406948359055151,0.21021918060054542,-0.12826640120720648,137.00844890105378,164.59654895336115,91.87732516580192,196.78993946451357,89.28047691929176,81.99705636607278,233.90046579770222,570.5205386176792,487.6888225265073,3378.7638811725265,2202.2297375421062,976.1868614090538
33,I,IMP,2021-03-09,2021-03-09,2021,3,18.0,23,480.0,-81.2104,27.1804,12,33_2021,0.6120769109126519,11.521303722866481,0.3145825496549564,0.32113115957855753,0.3074139039977646,0.3963749829045963,37.72686474567957,0.3356441783533466,0.6150274663204345,0.6174882852444004,-0.0010161125206794375,-0.007562519811114281,0.40690870273295976,0.39052977375524245,0.1555918745605207,-0.2227813191264253,142.9444552327972,164.1859382482268,105.22458297697258,188.92282803384035,102.67774203406148,94.84239150185682,424.35770690995514,741.3103032885513,736.7300286529552,3062.630414140411,3109.3551496022114,1622.99737994663
33,I,IMP,2021-06-17,2021-06-17,2021,6,50.0,51,3844.0,-81.2104,27.1804,96.1,33_2021,0.7266199745687976,8.533544485178972,0.36916818650322497,0.29825525178404183,0.5144265579370507,0.4910084641264504,46.54996254048023,0.45319941825338894,0.5544200150553793,0.6288470438975592,-0.04171820217297182,0.18032827949049487,0.5117100827350594,0.37584559531127393,0.21226434823849794,-0.14975147732332303,132.872559697919,165.72183136038672,91.23692925931752,206.68822964060658,89.03258093128541,81.46926472877375,317.06020531595397,715.953294423336,567.8263032800559,3554.573578523371,2486.112894229678,1150.5756136602033
33,I,IMP,2021-08-09,2021-08-09,2021,8,52.0,54.33333333,5572.0,-81.2104,27.1804,139.3,33_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,I,IMP,2021-04-13,2021-04-13,2021,4,11.0,12,856.0,-81.2104,27.1804,21.4,33_2021,0.6556714536355683,9.945220619406504,0.31409362576902733,0.290841499626336,0.38045706211609076,0.41422278551829766,39.54652829181929,0.3562570331494449,0.5704000508396695,0.6104959147835043,-0.02730273360288949,0.07533357670806196,0.42601802317559767,0.3565228859844931,0.1626968314791561,-0.17586532921033385,138.99594406452817,166.5622232264387,102.96661392925603,198.9018650408691,100.63643741183186,92.12549532233807,369.92001757736705,708.5988733982847,626.4348337952478,3011.4309655408806,2589.048022136941,1351.693734579995
