Pasture,Date,Sample#,DW kg/ha,%moist,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
P15,2023-10-10,3.0,4686.4,45.2,0.5933255242383438,12.2282198984237,0.3158156007110594,0.2485367082799836,0.39911475061624385,0.38472845776377596,36.61489703539051,0.3012621622923153,0.6043868199262084,0.5278553453148238,0.05135419394002534,0.09510764623217523,0.36972845273158583,0.3574897228886944,0.16130099504161916,-0.16414050264066424,142.94600778896663,151.92714641402165,101.62662644369331,162.73668001236214,98.85440679316856,92.43160782881912,320.005224567996,618.7597534739405,774.139540292472,3034.565991931405,2505.258748946072,1301.8584664225111
P18,2023-05-25,3.0,1903.2,70.2,0.7610009045042155,7.010752238301522,0.36164085483955394,0.2621717816799694,0.5697225319951712,0.5149672687663416,48.83394896888837,0.4859938890093683,0.4910762196691869,0.6235686456257648,-0.05913726864727734,0.27467854516668083,0.548922775383327,0.35470290183224684,0.2253963839237981,-0.1103873544395859,131.6458707524485,170.34628004863663,89.36056203172548,213.84472288747148,87.17938242555228,79.37802991242346,298.20806499043,691.4151422913164,475.9264231925061,3617.4378734005195,2034.014813626924,970.5411524635891
P18,2023-06-26,3.0,3474.4,57.8,0.8181274832169999,5.7742631698422775,0.40616293770315265,0.2732692001925837,0.6663209850518651,0.58507265621051,55.23262843886204,0.5828983128031959,0.46986130913371,0.6515429701355769,-0.07090482612028107,0.3569063167290595,0.6341822873971241,0.3760429493814792,0.2725593571769609,-0.09019614265681386,126.48161660873036,171.20552880950896,79.82276805148366,221.40563451677238,77.7564429622039,70.88950718805533,257.84712990039264,707.8961063845613,414.96204770856576,4145.521767498431,1962.979900919373,829.3709128057671
P18,2023-07-25,3.0,4898.4,59.0,0.7954259567597453,6.5643285632204105,0.4043602063846545,0.2587925454992461,0.6580574850715935,0.558340143658833,52.75322900049586,0.5373335239400983,0.48588784596291495,0.6197116091844811,-0.054660763438239626,0.34496821910821024,0.5902296141303194,0.36365194085661184,0.25685734673781235,-0.08973342193549345,128.5639104377686,166.92904486968274,82.10598425885163,212.68852788899483,79.91322887036165,73.02569651949887,245.71869207821314,667.1148958868516,452.73519883638244,3951.9733321712783,1926.861127522617,816.5978115066057
P18,2023-08-24,3.0,4047.2,53.2,0.6311736196635549,11.6217108569822,0.34766565129173127,0.24128536590163452,0.4746154244852137,0.41280538580083587,39.249350007982684,0.3405905958609977,0.5632007439169774,0.5315732021791163,0.025305420908681188,0.15679551816456433,0.4041390065741225,0.3496512371014867,0.17620061428163053,-0.13842352133749486,138.03502267181958,153.93395439840302,97.8499854665389,173.7277660198829,95.34890393757807,88.56779274101774,299.68496450730663,635.4656631404505,706.2487471418506,3148.142892733629,2292.992962718742,1117.0146150210849
P18,2023-10-10,3.0,5032.0,47.4,0.5650444967538093,13.364867944149598,0.31739365260349617,0.24691694991522542,0.36068751920690495,0.34573714067375655,33.16754997968093,0.2532829569217351,0.6194409124862175,0.5306113917705277,0.0645411030733938,0.048893333555886494,0.32842654540031324,0.3316455580426771,0.1375703989035367,-0.1645230349877856,147.21821819025527,153.1350339753418,107.97404009028234,160.20373110468287,104.96122172234985,98.36258677366432,315.78217985480757,573.3715116434613,747.573620225177,2695.201994256308,2440.1086238190437,1263.4317835218367
P20,2023-05-25,3.0,1852.8,66.8,0.7018644572635746,8.405459740327702,0.3242240443592169,0.25944217548867,0.4647683986809953,0.43923338539653056,42.01124711834916,0.38818391919006745,0.511508482111531,0.6091417693529868,-0.05274323530635132,0.1737879544273053,0.4607786177800801,0.3303769441494223,0.1749484756053477,-0.13220490846744382,136.42541145359007,170.78063309465915,100.34297104070441,208.3770725523393,98.13027253339102,89.13682224827629,339.15062049981486,684.980711788974,521.1673789453649,3039.424596073591,2125.2996050140764,1098.114947557925
P20,2023-06-26,3.0,3281.6,45.6,0.698354098276272,9.294193037162854,0.35363789342955454,0.2586652294186664,0.513236393939019,0.45389950045097927,43.18685752823303,0.39621309938355187,0.5409081970641049,0.5831135832187045,-0.02261138111883814,0.19523048053012007,0.46244881770070495,0.344589123334003,0.1911152579362374,-0.1290264000559965,135.9528803473452,162.87407281739104,95.15908352131203,195.16896677485738,92.72163609120433,85.02925977459263,303.8228700055763,653.2083804386132,579.7163503665485,3251.5798412853665,2190.4443884852553,1046.2616179952713
P20,2023-07-25,3.0,4269.6,59.4,0.5775724773623706,11.834155526048633,0.3043219832110997,0.25566149476655947,0.3481938759446018,0.37627386707958843,35.7898151463788,0.31269609848493973,0.5546377460138302,0.5514176545087368,0.02070146431788215,0.06593981085026397,0.3804341215819109,0.3768597951268242,0.15033607865687482,-0.1844172903955775,140.1794827296476,158.70238637598013,105.78643100649695,181.09439601103006,103.59400799383332,96.64693668074752,426.7674852351454,761.7120122543853,805.061428748595,3023.523980540515,2687.1794600436087,1496.7155256303574
P20,2023-08-24,3.0,563.2,43.0,0.5037326938289831,14.162127053685687,0.2725870515142937,0.2694395688084086,0.2367766926400135,0.3287836234670608,31.264778183241656,0.2585852355898731,0.5838911953516326,0.5312638436235213,0.04572949964941799,-0.03884278980279643,0.3260916077561209,0.4026334433963664,0.1257162240474358,-0.2281074816132993,143.382919212288,154.66122875175557,110.97013149598438,168.22646584037543,108.67599449244655,101.5730151269944,502.8422277055288,822.8067659330329,956.8176632613647,2897.7269380745106,3130.186716940795,1786.7098170300053
P20,2023-10-10,3.0,1181.6,57.2,0.7396628126327615,7.9864177442020035,0.3632712635683432,0.2922186165511534,0.5229533557619899,0.4925032945062978,46.7348553917638,0.4469135346165375,0.5609562427494283,0.6328618058765455,-0.04081789475852872,0.19534009067531286,0.5218546140466711,0.3601223831849043,0.21058806997236215,-0.13934191548136438,138.06718760595894,169.84796987853173,91.96112583914775,205.1489977678056,89.28327291811569,81.64752662595782,329.6515660914918,657.8210012886973,519.6644197133531,3473.561002288241,2333.9031040135737,1085.5784542055344
P13,2019-05-16,3.0,1567.2,50.8,0.5937457214312853,11.298831362861742,0.286192583647153,0.25878088693935275,0.33548161839331925,0.37044339356095213,35.438281892226705,0.3055026944556957,0.5526474879964207,0.5581810207078179,-0.0014106785471440248,0.05647355962448623,0.3695706921308344,0.3548468430833262,0.14243923189889365,-0.1774695392939145,138.55733001667662,160.4021667747406,107.2462949422064,187.22710914684552,105.23846649076262,96.9306773316484,383.88258321566434,733.5329297728846,729.0178066533452,2845.6729125495094,2559.771879725168,1428.3770567373526
