SiteID,Pasture,Date,Year,Season,biomass_lb_ac,biomass_kg_ha,Lat,Long,_geometry,sitePhotos,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
FE-24,CR80 South,2023-07-18,2023,July,1944.0,2178.9324,40.8317341,-105.1954024,SRID=4326;POINT(-105.1954024 40.8317341),,0.4715977001799594,10.834864444161761,0.1777192361663908,0.19908447816272776,0.19698938975441474,0.3120963689643387,29.63634759256488,0.2470364688259922,0.5095169869148313,0.456841617360905,0.04778241652210209,0.020442257121172286,0.31055440848212534,0.40515687318123295,0.11669265757817243,-0.20980196268531384,141.2605600274669,153.523006277139,113.18381191729677,168.9982702695888,111.3968802673313,104.39313141856186,552.5723330841129,905.6013084478022,1042.091974525538,2905.4878962902535,2785.5230492193637,1946.3290123594345
FE-25,CR80 South,2023-07-18,2023,July,1008.0,1129.8168,40.8318167,-105.1955244,SRID=4326;POINT(-105.1955244 40.8318167),,0.5244418819369714,10.48059403694933,0.201151513210079,0.2027924443483371,0.2648969347588591,0.33434487937336355,31.903227404514407,0.2695026138802377,0.5039815692900944,0.47493309204506196,0.024610434693429963,0.0673707206591806,0.3362608168008385,0.3690519604013252,0.1263820306674976,-0.17786844761944592,141.67115506800044,157.86900623687265,111.13715804983191,177.22314023359985,109.07994341206827,101.30596971566212,484.1590945811723,811.503652026754,878.6544636721592,2822.947106011887,2465.9768896234873,1640.4205074480712
FE-26,CR80 South,2023-07-18,2023,July,1436.0,1609.5406,40.8318313,-105.1953985,SRID=4326;POINT(-105.195398487073 40.83183130352453),,0.4715977001799594,10.834864444161761,0.1777192361663908,0.19908447816272776,0.19698938975441474,0.3120963689643387,29.63634759256488,0.2470364688259922,0.5095169869148313,0.456841617360905,0.04778241652210209,0.020442257121172286,0.31055440848212534,0.40515687318123295,0.11669265757817243,-0.20980196268531384,141.2605600274669,153.523006277139,113.18381191729677,168.9982702695888,111.3968802673313,104.39313141856186,552.5723330841129,905.6013084478022,1042.091974525538,2905.4878962902535,2785.5230492193637,1946.3290123594345
T-104,Lower Campbell Valley,2022-07-19,2022,July,357.0,400.14345,40.79993,-105.1617,SRID=4326;POINT(-105.1617 40.79993),,0.22392283736456964,12.722515132678282,0.11175378307788306,0.17115117394904675,-0.10353222463234582,0.14434473056846733,13.745868209284291,0.06339127798307226,0.530607397070066,0.41689488994628043,0.16167527202532953,-0.21284493074898653,0.13975301567400295,0.45120169571782964,0.02633763230416802,-0.3086384178992148,152.48440184058376,149.03315409730547,141.27783153101205,148.16138952295557,140.78577978722004,140.5858424333423,797.0655779546363,1089.8716171566732,1462.5094121688287,2306.417564981111,3553.2972623764626,2839.571224855824
T-104,Lower Campbell Valley,2022-07-19,2022,July,357.3333333,400.5170666,40.79993,-105.1617,SRID=4326;POINT(-105.1617 40.79993),,0.22392283736456964,12.722515132678282,0.11175378307788306,0.17115117394904675,-0.10353222463234582,0.14434473056846733,13.745868209284291,0.06339127798307226,0.530607397070066,0.41689488994628043,0.16167527202532953,-0.21284493074898653,0.13975301567400295,0.45120169571782964,0.02633763230416802,-0.3086384178992148,152.48440184058376,149.03315409730547,141.27783153101205,148.16138952295557,140.78577978722004,140.5858424333423,797.0655779546363,1089.8716171566732,1462.5094121688287,2306.417564981111,3553.2972623764626,2839.571224855824
T-105,Horseshoe South,2022-07-19,2022,July,256.0,286.9376,40.80374,-105.14214,SRID=4326;POINT(-105.14214 40.80374),,0.26631670246763556,13.890897788871046,0.13659787316802988,0.17168502878835948,-0.02257152225308368,0.17644148748404118,16.750424874847035,0.1146575638765837,0.4794526622110087,0.4077646680413519,0.0948463252484962,-0.1586936726527549,0.17860479454160647,0.46030797607866714,0.041286020047422836,-0.28284462172943414,144.43314100510136,150.63631407851904,134.39839703908396,158.73835777765908,134.63979666599496,129.8412765059993,861.5669575286596,1214.0286115763563,1451.706131144808,2505.4231931535737,3451.146071258901,2621.991228723305
T-110,Reservior 15,2022-07-19,2022,July,139.0,155.79815,40.79403,-105.12008,SRID=4326;POINT(-105.12008 40.79403),,0.19504426616651133,13.067779424272432,0.10758104328528624,0.13134992625725925,-0.07047074498720025,0.13816469118256736,13.046630471919022,0.0702709440437774,0.45102856203997316,0.35936746811159614,0.13277890746302762,-0.17672548902749569,0.13456860428512535,0.5231398734199344,0.022542305228326,-0.3174005001171251,137.86713910759326,141.76660702730496,136.44569187015867,148.6405553290559,139.17358055934034,138.25905527879087,969.0684721072864,1445.6180334801675,1800.7618466232177,2673.4936444988666,3820.951001553148,3078.903294659586
T-110,Reservior 15,2022-07-19,2022,July,138.6666667,155.4245334,40.79403,-105.12008,SRID=4326;POINT(-105.12008 40.79403),,0.19504426616651133,13.067779424272432,0.10758104328528624,0.13134992625725925,-0.07047074498720025,0.13816469118256736,13.046630471919022,0.0702709440437774,0.45102856203997316,0.35936746811159614,0.13277890746302762,-0.17672548902749569,0.13456860428512535,0.5231398734199344,0.022542305228326,-0.3174005001171251,137.86713910759326,141.76660702730496,136.44569187015867,148.6405553290559,139.17358055934034,138.25905527879087,969.0684721072864,1445.6180334801675,1800.7618466232177,2673.4936444988666,3820.951001553148,3078.903294659586
T-111,Horsehoe North,2022-07-19,2022,July,127.0,142.34795,40.81559,-105.16849,SRID=4326;POINT(-105.16849 40.81559),,0.19653790467191878,14.268046776152811,0.11924779994575825,0.16719522869409176,-0.11344608897582052,0.13877323688737306,13.108493416320787,0.06019249501796261,0.5134109465238095,0.40768739687857886,0.15834680169197218,-0.22958699681937142,0.13740666590613104,0.5382312829615605,0.020273810709724307,-0.3644481522543046,147.84796882871828,145.73347939504953,140.08745591855043,146.19693816465767,140.5672410313836,141.14906007470907,997.6641026264839,1365.3995608651499,1786.9216763197394,2661.574072353619,4244.774707464152,3341.6590902833127
T-111,Horsehoe North,2022-07-19,2022,July,126.6666667,141.9743334,40.81559,-105.16849,SRID=4326;POINT(-105.16849 40.81559),,0.19653790467191878,14.268046776152811,0.11924779994575825,0.16719522869409176,-0.11344608897582052,0.13877323688737306,13.108493416320787,0.06019249501796261,0.5134109465238095,0.40768739687857886,0.15834680169197218,-0.22958699681937142,0.13740666590613104,0.5382312829615605,0.020273810709724307,-0.3644481522543046,147.84796882871828,145.73347939504953,140.08745591855043,146.19693816465767,140.5672410313836,141.14906007470907,997.6641026264839,1365.3995608651499,1786.9216763197394,2661.574072353619,4244.774707464152,3341.6590902833127
