Pasture,Date_mean,Treatment,Year,ID,Season,Low,Biomass_kg_ha,long,lat,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
J,2021-06-14,IMP,2021,104.0,6.0,26.444444444444443,1982.2222222222222,-81.18692222222222,27.164911111111113,0.739450145456757,7.859001492535597,0.3632190665514053,0.30384883344074404,0.5056949716065803,0.4995703087518673,47.3480760068085,0.4666907497126678,0.5445096215554621,0.6524674318121604,-0.051781366849889765,0.18343352919168565,0.5339004345130511,0.3746747946414159,0.21412752359225695,-0.15089932950705606,134.119252407588,170.74813825143644,91.79944414040298,211.4294163031743,89.50583219797849,81.79109420682667,336.84416452651067,719.4636721957096,528.5603508286929,3562.6564034635066,2470.297931457519,1171.3366734212714,717.4485631714193,2163.9435123716366,2016.5225308140446,2127.6140822055336,1840.1103416717378,2127.775041107956,2083.073949872948,2375.671388888889,1929.0278539570786,kfold3
J,2021-08-10,IMP,2021,104.0,8.0,51.111111111111114,4276.444444444444,-81.18692222222222,27.164911111111113,0.8124363934032978,6.158823561133495,0.4238431257111579,0.2770741624698429,0.659188453367205,0.5600040597107468,53.023649736866844,0.5391280664697919,0.4994325884769174,0.6613531634130383,-0.06529251581492226,0.32809181447277824,0.5942269143681946,0.35520496313493877,0.253894398702027,-0.09343800825238377,128.40460785790717,169.79721541434523,83.24813050529468,217.03261370156713,81.09010459739258,73.88836883625939,226.39338194585227,653.32555421449,399.26584301126667,3867.9793952479968,1955.2321754691507,791.0062695076161,624.0997570186353,3241.8614993664514,2960.693665393958,2888.476617244615,2147.859635815481,3049.9759330634183,2881.6459341165164,3312.2144444444425,3021.9579256841116,kfold3
J,2021-10-04,IMP,2021,104.0,10.0,54.888888888888886,4532.888888888889,-81.18692222222222,27.164911111111113,0.7375999982999191,8.270659435199512,0.3786026558111757,0.2815354765743829,0.5421831981735532,0.4860714003923954,46.207769005839914,0.429803395752697,0.5794653647129802,0.6274879606356922,-0.02186629544643559,0.2095196867551674,0.48975441395196334,0.34794192874320556,0.21068388334190066,-0.13194605386101632,135.44840179711727,162.48526422698424,91.840784369798,195.9045868498501,89.39638144016408,82.19020375629546,230.88714116644735,594.2117863631325,517.2541697076366,3418.629222169023,2247.4294193326623,1019.1601968245814,1133.9894762048277,2980.315908501258,3085.882265173647,2847.767988346035,3349.7982411870316,2948.8255966356787,3272.833910985344,3340.5405555555526,3022.020604692876,kfold3
J,2022-02-07,IMP,2022,104.0,2.0,56.888888888888886,7334.222222222223,-81.18692222222222,27.164911111111113,0.3950620664438731,17.75484765244676,0.25698303201453154,0.29467557022060376,0.03949981836326693,0.22902998541873762,22.17830187417552,0.13602985829291536,0.6692393058543045,0.5677069374943017,0.12564931338224256,-0.2178312099596157,0.21785305897792365,0.37570441966210155,0.07081891143145454,-0.28267622979144685,159.87964020254924,155.93394120632612,130.23949804613179,154.34588881318277,127.17282703076278,122.64017500570097,489.07580585369163,689.3202522735229,967.8113161280546,2214.1617623379325,3484.8061154081906,2067.233952882818,1632.135348394999,3004.006054670411,4931.06873470054,4007.5815721521526,6540.760546852144,4040.136901022909,3801.033611954482,4118.663531746032,3744.9168917761012,kfold3
J,2022-12-23,IMP,2022,103.16666666666667,12.0,27.5,3105.3333333333335,-81.18766666666666,27.164766666666665,0.6520674185392684,10.455256357505952,0.330368570201551,0.3047815942180718,0.36392923866032495,0.39954739634386044,38.31633668798819,0.3311300484310991,0.6078147820469465,0.6295567678764303,-0.015670836050385877,0.038385418725325283,0.4045599789095154,0.3436799921407512,0.15390284222885578,-0.18268358873436022,142.3290640266745,166.26636697222963,105.60874315983976,193.19160350257823,103.03595851896749,94.54304195074484,339.65965419210886,644.6707229790044,600.2092182664281,2851.5568133771044,2639.3022107979396,1329.5745464956453,1407.4954674518017,1949.415561486177,2238.055948297554,2326.89364753249,2323.79769138113,2252.368156664945,2478.1112546188097,2606.1758253968223,2812.5153213672156,kfold3
J,2022-12-27,IMP,2022,105.66666666666667,12.0,25.666666666666668,2153.3333333333335,-81.18543333333334,27.1652,0.7234035051187732,8.176600195614432,0.3424074154931101,0.28784974405439073,0.4620495777720928,0.44524266122559025,42.68318430711323,0.3833273778297032,0.5743771318957852,0.6477050288030153,-0.042913223250034,0.14339390559520895,0.46170661492906256,0.3276123279768116,0.17638039851348686,-0.14613377623705437,140.50603845139435,171.23901646683134,100.21253094943684,204.70712668401714,97.55562374358311,88.95556480807913,302.5215114696705,614.9236395561977,484.7723949490642,3005.7708926642754,2267.410827775835,1115.4685306200663,1230.5418695059748,1936.2349816927883,2099.837587223382,2235.9853304453795,2177.8910467334804,2121.532574086964,2354.3669427126206,2546.1263888888893,2210.8264653646065,kfold3
J,2023-02-16,IMP,2023,105.66666666666667,2.0,14.0,1622.6666666666667,-81.18543333333334,27.1652,0.6321041881381168,10.547994248493174,0.3069966473550482,0.29464839078237676,0.337816184521349,0.3924522782778627,37.581280350223054,0.329063754830917,0.590327777071236,0.610962107563971,-0.014349744967249901,0.0365530356152614,0.4049514564728829,0.35724247629688816,0.15031924845382674,-0.19114984415178737,143.91865059260445,167.43868858350663,106.69460409973046,193.77620090287198,104.03957242811661,95.56787714616546,399.9966569286969,697.0214513275843,653.4278391703152,2891.366390103531,2711.685815379496,1445.3595087089245,1227.7661891303799,1747.538900605056,1791.61247989606,2047.178424219425,2189.1856893257277,2021.840310968118,2126.615753615275,2025.755428571428,1907.571349040157,kfold3
J,2023-02-20,IMP,2023,103.16666666666667,2.0,23.5,4090.0,-81.18766666666666,27.164766666666665,0.5423135103795639,13.259879132907814,0.2882321511904606,0.3149618786436769,0.19070568543293961,0.32488252511265964,31.274157306218736,0.25271262813293066,0.6307412042910845,0.6127739228440546,0.020614432241818716,-0.10208338928255646,0.3298294843787945,0.36557406387252134,0.11354617954610335,-0.23972824045761,149.98150768217303,165.6536667437857,117.53692241400297,182.47362739943836,114.80633016281236,106.59377397686814,451.2789177719012,710.3834159626182,755.9625419413952,2560.2887348970894,3139.0775319299087,1737.1412923118041,1309.9469454843872,1552.2576881250811,2035.5013405705913,2052.602442345272,2252.740316085958,2170.101263562056,2265.9998215588303,2320.144317460317,2541.4657668059913,kfold3
J,2023-04-03,IMP,2023,112.0,4.0,32.25,2531.0,-81.188075,27.16465,0.5326147348574282,13.372971116868037,0.28088349901352005,0.3202921356714181,0.17648382059595766,0.3298458070881102,31.5807785366288,0.2623749402694564,0.6249775503944708,0.6068671837682792,0.016975282202274,-0.10996031312100998,0.32844972663962324,0.3901628070007628,0.11691139467083755,-0.2587351771594237,144.14731401734352,161.82565713345457,115.87151947544092,182.83220883080844,113.86135733080656,105.55967060919016,450.43115869628116,775.836020191906,822.3457974126338,2694.7795857174256,3362.807728301629,1889.4244642537608,1044.0481043173174,1405.8809233443847,1715.4911802037454,1514.7754404032241,1340.6456436611086,1396.8471566583144,1373.5609264026914,1939.9153333333318,1922.2878201051947,kfold3
J,2023-04-04,IMP,2023,97.6,4.0,18.4,1458.4,-81.186,27.16512,0.5422837360530204,12.829502950110381,0.27605730884254526,0.30477215650082945,0.2051806316685134,0.3393696705002173,32.44387749235288,0.27133515139214925,0.6137022016541884,0.5940929222008873,0.01898837205116276,-0.07235583050808911,0.33854030183009287,0.387978320735584,0.12334987646823974,-0.24514258345233103,144.19227481062052,161.25333550637785,113.90834077256383,181.52657396696108,111.79208270079525,103.73971464760874,446.2463765874586,768.5362563461846,820.9566991955671,2762.0173969501025,3222.7488851432145,1837.1701141417896,1089.2807712598874,1598.9973872221958,1645.788089358926,1528.7318899364393,1417.0257199640926,1458.7939984687405,1513.456520431476,1788.6248095238077,1504.8220257575879,kfold3
J,2023-06-13,IMP,2023,86.5,6.0,27.75,2134.0,-81.185825,27.165275,0.7759087333772513,7.189173120423274,0.39805988180089624,0.2330814614714201,0.6375054019374646,0.496583742217736,47.341788079461644,0.4437185859641758,0.48105792367567074,0.6048919072231171,-0.05307864472123833,0.32264350341433434,0.5072135351953352,0.3125952031482644,0.21124310677211255,-0.08316492248925236,131.24901770062155,166.36779927369267,90.76034285854342,207.68208382328447,88.5525413673625,80.54958641729317,209.5339583484441,594.8692505560919,418.72091404166827,3309.2726186800414,1710.530597012405,739.3530508177561,1235.0030076541302,3128.157213157991,2866.94097178819,2832.5432791857897,2496.581103483456,3020.320466766337,2818.454030086147,2964.339166666668,2836.1163275810736,kfold3
J,2023-06-14,IMP,2023,118.0,6.0,28.6,2396.8,-81.18780000000001,27.164620000000003,0.7584035800638466,7.696689485176631,0.38997360327481,0.2335719446345113,0.6077069771616015,0.46965361818583384,44.99422233026095,0.4087926968008101,0.49639842562961417,0.6016812742159015,-0.04834591042732022,0.28740913690965836,0.4720535289604449,0.30092082626246947,0.19458429805141114,-0.08947408465982544,132.11535757244997,165.33042265470786,94.51904009186194,204.7589290016929,92.36477420826665,83.98720572351591,199.03053776748,576.237577582594,424.1708019459993,3098.2699672342032,1729.823823286486,762.140848550289,1567.5698539938764,3046.854701727749,2809.11654551047,2588.5214948231533,2372.461575199574,2810.477588465503,2768.1725686554073,2872.740555555557,2995.2721239681864,kfold3
