SiteID,Pasture,Date,Year,Season,biomass_lb_ac,biomass_kg_ha,Lat,Long,_geometry,sitePhotos,ID,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR
FE-21,Red Nose,2023-10-06,2023,October,1496.0,1676.8664,40.88140887,-105.2430569,SRID=4326;POINT(-105.24305688453512 40.88140887255807),2023_RobertsRanch_USDA-ARS-8.jpg,FE-21_2023-10-06,0.289304298827726,14.414084501886194,0.1503245432951975,0.184582229612827,-0.0140317489176036,0.1729140219645458,16.65040397959852,0.0870831008419661,0.5551294078784097,0.43274677186364,0.1529998521737176,-0.1640217507292461,0.1604389196231129,0.3780353083533915,0.0465906716819472,-0.2469110127169968,150.19701918357683,148.35447938575177,135.1512299897203,148.7220055169671,134.1694398016767,131.90547558417623,568.3013553615108,850.5922147526271,1177.1112909646456,2135.58404604132,2972.627846451989,2195.609450918904,1318.0390170548574,812.4852932971525,667.4457518913528,784.7107867185723,938.6751440386107,745.3952937434244,809.154922515343,962.1899999955001,1146.8146265482756
FE-22,CR80 North,2023-10-06,2023,October,1292.0,1448.2028,40.85266053,-105.1990504,SRID=4326;POINT(-105.19905042450821 40.85266053246918),2023_RobertsRanch_USDA-ARS-6.jpg,FE-22_2023-10-06,0.2714842843468693,13.811707389427266,0.1369746407405895,0.1680526602193199,-0.0187816490676383,0.1652487498519388,15.86654412682794,0.0796272803393794,0.5349647119480976,0.4095223341775782,0.1586707177040274,-0.1553711947563471,0.1525756298400993,0.3886743307634555,0.0434786791969203,-0.2471261736892569,147.83481297985372,146.29927798149325,135.1417987215672,147.06437924232753,134.6680094574788,133.05259977252982,594.9808136846151,902.7581385877796,1248.737137784393,2176.514944826416,2977.0436893187675,2259.895006920808,1213.2911074421957,726.4721441742997,691.4644818067128,710.6919995628948,815.786626797198,594.64317393514,601.4940357109771,927.7616666655002,888.2450829184887
FE-23,CR80 North,2023-10-06,2023,October,816.0,914.6544,40.84872236,-105.1959854,SRID=4326;POINT(-105.19598536114279 40.84872235587729),2023_RobertsRanch_USDA-ARS-5.jpg,FE-23_2023-10-06,0.275175085573856,17.302825284177047,0.1794402741954615,0.1802300364184376,0.0298753979259687,0.1750543345340782,16.700881217209584,0.0904431113365995,0.5293336200586761,0.4089567772437449,0.1513260069485683,-0.1505132507810497,0.1640083302605187,0.413491025257806,0.0505177080241396,-0.2507557883703907,145.15865293343523,143.8483938913406,130.74495700745197,144.97309487955795,130.1795938468984,128.1309612119924,655.9929307571322,981.5870446290584,1337.9517474912936,2352.090670985101,3182.1171034447807,2211.175948869857,1208.8338816090998,649.549262015983,525.4555266122421,747.9618919127385,796.9847410056198,727.7819501968596,864.2952632190207,1050.3199999834997,1283.0895138440892
T-101,CR80 South,2023-10-06,2023,October,1020.0,1143.318,40.83548579,-105.1956234,SRID=4326;POINT(-105.19562343449537 40.83548578877903),"2023_RobertsRanch_USDA-ARS-11.jpg, 2023_RobertsRanch_USDA-ARS-3.jpg, 2023_RobertsRanch_USDA-ARS-4.jpg",T-101_2023-10-06,0.3350965583505645,14.746655436668693,0.1731511791073704,0.1635985525670073,0.0967517909188248,0.1976440768366326,19.076436837137773,0.1081569269790808,0.5335765644386287,0.4029547153546639,0.1434244138652886,-0.0775093327409602,0.1815861582571116,0.3464451483210843,0.0632770754000696,-0.1961644896475041,147.60852982603944,146.4523297152047,128.54277028542745,147.67972998451677,127.12017536236628,123.86917910640469,491.0595785483433,771.3324242903811,1080.8688524465133,2167.2897536370515,2532.1235452668693,1784.8875036805102,2511.241114725225,1277.0238280167207,592.2419197565516,587.1105875522248,1272.3436161482714,811.8888541491423,1003.6566616857889,1508.6966667050008,1428.258889156051
T-102,CR80 East,2023-10-06,2023,October,1258.0,1410.0922,40.84287,-105.17639,SRID=4326;POINT(-105.17639 40.84287),"2023_RobertsRanch_USDA-ARS-37.jpg, 2023_RobertsRanch_USDA-ARS-36.jpg",T-102_2023-10-06,0.2839178469876577,16.751278331763555,0.1765758993718106,0.1744263309265858,0.0379983521710182,0.1725618387918608,16.572710378212157,0.0836327372669724,0.5406730257592317,0.4073726652757213,0.1627980507152115,-0.1395751166094858,0.1590187691431988,0.3784843300653256,0.0505977532171451,-0.2292519628162922,147.7699236842665,144.6717580753429,131.88450137303232,144.32735767875556,130.9020250445662,129.2040184616641,574.6602965713919,865.9227351316877,1223.2558797102324,2191.1496840242985,2901.321132226138,2029.3149176649429,1755.2603732091823,884.0256195661018,698.5698530122835,994.9310085065065,1020.2821263958812,878.8611384500895,1005.2786184466457,1116.696666665,1474.4718247439039
T-107,Steamboat Rock North,2023-10-06,2023,October,918.0,1028.9862,40.86487,-105.22506,SRID=4326;POINT(-105.22506 40.86487),"2023_RobertsRanch_USDA-ARS-48.jpg, 2023_RobertsRanch_USDA-ARS-47.jpg",T-107_2023-10-06,0.2765578087758182,15.654225940915918,0.1601641858397361,0.1829709121783787,-0.0143329201832544,0.1601164537277617,15.505909943448122,0.0775158553065798,0.5484501357175534,0.4300164430772796,0.1522713170937054,-0.1741311175468193,0.1478582902673829,0.3608895715226087,0.0410421941614496,-0.2346941181821368,149.25357174146043,148.54895217632728,137.2054102183998,149.80037465750772,136.69758691221796,134.66152377628129,550.5817012239676,832.872130285823,1138.7433797574945,2008.4084507586097,2855.8676491191727,2066.2677105940024,1629.0974897024375,998.3516194480221,828.9348584015493,1073.3480848266056,1094.5842333836306,1115.0962342270607,1055.665329217245,1067.82999999,1120.7869010536185
T-108,Steamboat Rock South,2023-10-06,2023,October,2006.0,2248.5254,40.86003,-105.24036,SRID=4326;POINT(-105.24036 40.86003),"2023_RobertsRanch_USDA-ARS-50.jpg, 2023_RobertsRanch_USDA-ARS-49.jpg",T-108_2023-10-06,0.3265291749561667,18.07324234521308,0.2168114212370158,0.1757043853782814,0.0811726505388528,0.1561469740568338,15.79335271769372,0.0804396748393527,0.5472459228382127,0.444245610108141,0.1211859463511332,-0.1380321768370549,0.1427286635268526,0.2601075790543494,0.0420595527272597,-0.15773928806116,152.73006683571123,155.11729043421906,140.38764795509468,158.5105669446026,139.5025991554306,135.15929315017044,388.28517540198686,600.1351016369056,789.0669497967627,1552.3519716876688,2052.563830189186,1319.6099148220528,5248.163892969534,3975.260075068245,841.0642881222379,2414.9523598691485,2819.952991587715,4841.053452457368,2513.207827160237,1365.0500000400007,1485.533845625112
T-109,CR80 North,2023-10-06,2023,October,782.0,876.5438,40.85662,-105.1985,SRID=4326;POINT(-105.1985 40.85662),"2023_RobertsRanch_USDA-ARS-52.jpg, 2023_RobertsRanch_USDA-ARS-51.jpg",T-109_2023-10-06,0.288037524136682,15.25450230914882,0.159854227365568,0.1923992161095807,-0.0147896593337433,0.1730185668986759,16.64739275877934,0.0886580324440672,0.557077049850714,0.4401181462521489,0.1483932867354839,-0.1742367583218182,0.1615348121399456,0.3845467807887024,0.0461217617555674,-0.2532150102834375,149.98777775217582,148.6556610736213,135.19364003672862,149.4011891940789,134.25864604529346,131.79837550005067,587.334626887741,871.733031798193,1191.8659262527697,2154.357342773472,3063.131910628824,2218.337177435714,1256.388710203139,795.8013176080752,640.0894685388632,795.320406924495,928.6712942483294,813.5837562199772,906.8024142546418,1029.4416666504999,1136.0607729817789
T-105,Horseshoe South,2023-07-28,2023,July,1643.0,1841.55655,40.80374,-105.14214,SRID=4326;POINT(-105.14214 40.80374),,T-105_2023-07-28,0.4704324450941358,12.404789018013288,0.2088647989157713,0.2056944496702776,0.2276742135525147,0.3145881936482788,29.85858468340158,0.2619801878411437,0.4811224628907911,0.4549978801676777,0.0237242111158285,0.0199409449077476,0.3207479220037877,0.4170940004301425,0.1177558252402522,-0.2065441595098742,137.5017786591429,154.424143901217,111.6622373747392,176.60619278448326,110.23210036524998,102.30882420527789,618.0772667556869,1001.8542888852488,1075.3023228157936,2974.177886248493,2863.3595381545515,1876.290742711961,843.3220362363957,621.976901982684,341.74871178771645,1638.524200912668,891.4498606544036,752.1763757735893,1708.9316424014396,1349.3166667155006,1146.4925290198662
T-106,Red Nose,2023-07-28,2023,July,2163.0,2424.39855,40.87709,-105.23915,SRID=4326;POINT(-105.23915 40.87709),,T-106_2023-07-28,0.4626375349638569,11.046175122253128,0.1780417013732738,0.2260558148073031,0.1202571138421137,0.279686725482995,26.880870719359905,0.2100108743641216,0.54770334942138,0.507767242788866,0.0385970685336888,-0.0589743801652316,0.2797487614000217,0.3683443229678717,0.0917830534917921,-0.2225380676261469,148.16392042078084,161.0234004001981,122.79173620017455,175.39494532585633,120.72720788546933,112.64168535027596,528.3758617513397,812.8191794903744,908.57582677749,2470.7210444227107,2782.530104975352,1944.963887023693,1088.3800525075094,1248.0185876299972,1305.1109972473246,3122.3315160264233,1172.099567852911,1914.044600845947,1928.7157843480818,1610.3766668600013,1542.3565865220369
T-108,Steamboat Rock South,2023-07-28,2023,July,4430.0,4965.3655,40.86003,-105.24036,SRID=4326;POINT(-105.24036 40.86003),,T-108_2023-07-28,0.438742313808827,13.991525085900667,0.2189626366670824,0.2047000084924584,0.1722964425578974,0.2479992761574441,24.126653313260675,0.1746085887848161,0.5264331614019987,0.476710102362487,0.0484258866614498,-0.0483913650583344,0.2405648887039178,0.3225661370005335,0.0802341153939928,-0.179432065888032,145.85296959374597,157.563346187147,125.15261983034218,170.79282421588994,123.5910963454573,115.5045153990888,464.6452547142856,743.8044547380928,849.5336681466691,2176.633293678294,2397.0314747790944,1535.997600005163,2293.4553115085378,2310.712676775878,435.46704822627396,2972.3997980154377,1800.3138390096008,4754.626544835582,2917.512372017256,1595.8733334870008,1608.7517917942398
T-109,CR80 North,2023-07-28,2023,July,1915.0,2146.42775,40.85662,-105.1985,SRID=4326;POINT(-105.1985 40.85662),,T-109_2023-07-28,0.5186295165021216,10.560233294049867,0.2004234148491254,0.2338058514462029,0.194879572113276,0.3180973691004586,30.50197846896068,0.2536952671295044,0.5367039916973485,0.522809459743363,0.012021979762636,-0.0055855065015585,0.3228099034276653,0.3627644549816288,0.1113713580486168,-0.2027077229011651,144.85559766217884,163.04532767227664,116.81719173337127,184.02454330986984,114.705617250545,106.03347653497497,494.006502716088,797.6979712575899,827.5072602209641,2621.573344997289,2646.768491166937,1763.028485944116,1075.0186952144923,1338.2708759481966,1328.4409355070145,8614.548706594136,1327.455347256256,3050.6447848358816,2593.710888336005,1530.0516668450011,1370.9228175697733
T-110,Reservior 15,2023-07-28,2023,July,3763.0,4217.75855,40.79403,-105.12008,SRID=4326;POINT(-105.12008 40.79403),,T-110_2023-07-28,0.4973687691433648,11.597391057831356,0.2109746165673756,0.185224645067815,0.2885816330211176,0.3322500362579909,31.56131041242732,0.2845277310018015,0.4442807862558493,0.4326882789560139,0.0100100508119806,0.0831414590768201,0.3326522412322465,0.4022592092612426,0.1292939038714958,-0.1759285267746516,131.95439673443832,151.99593040409914,107.80720738646149,181.26243963708825,106.90882293834534,98.71123037707989,546.7197029754661,991.855368562404,1023.8436582178848,3034.3846595238338,2570.909142902145,1683.544546120139,933.0717345529522,628.482111261143,84.8362766501016,850.9786238196948,980.1454280054945,540.2672399193242,1418.8796799256816,1302.1683334135014,1092.4461302126774
T-111,Horsehoe North,2023-07-28,2023,July,3831.0,4293.97635,40.81559,-105.16849,SRID=4326;POINT(-105.16849 40.81559),,T-111_2023-07-28,0.5849420646701401,9.448287798805069,0.2206799708983869,0.2380906355986225,0.3068285875576838,0.3974629220005851,37.79313634790436,0.3578929457971451,0.5141108969427218,0.519433361535769,-0.0047636233324554,0.0925102995770874,0.4255428876274095,0.4162782123887939,0.1623116643491736,-0.1983312808830659,142.593525010927,164.3801279773945,103.57648938318322,190.4734321327488,101.0554421898878,93.30267529396356,561.2665122652181,887.8326462659504,871.7907653626473,3339.7797401975777,2783.4454064641486,1782.2902670500089,623.329176732908,408.89442840307964,3291.5463249641725,8533.295062594978,1019.5787106526936,417.11110769383345,1643.083501289715,1465.0716668100013,1253.7161297533066
