id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha_old,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,site,g.m2,Biomass_kg_ha,Year,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
wbs4,2017,43.170576769,-116.7170546,2017-06-08,122.75,163.51,416.61,wbs,peak production,,,circular,60,286.26,0.2857047778124448,12.391355131513182,0.1269280793714668,0.141628985217954,0.0259005385087772,0.1721376214554144,16.565597910612844,0.0983257708459826,0.4735915229152763,0.376299978341494,0.1178511139641676,-0.1013595701865865,0.167986900914536,0.3783043056573956,0.0447896374899592,-0.2156927405302141,149.4259878461861,150.9490507328414,134.8867937724327,153.94374196946475,133.97543600216588,130.09635607913248,687.5817448325704,960.072286770148,1218.6924518074552,2181.682150361641,2679.972014039378,2086.145719403719,wbs4,22.191111111111113,221.91111111111113,2017,1603.1047804622392,357.69990841321174,273.1945754904864,422.28096911070963,276.1871914744893,276.35366693949584,300.32658203414036,270.70298532468075,283.03116175850636,2017.0
wbs5,2017,43.172316258,-116.7162871,2017-06-07,119.75,158.27,371.87,wbs,peak production,,,circular,60,278.02,0.2851018509533366,12.420347773700431,0.1269019133322142,0.1457469608664788,0.0176824259011594,0.1711557954416487,16.479287787181114,0.096726836919734,0.4814518505216985,0.3827398895079788,0.1202678330407618,-0.1094832251828447,0.1668347762304106,0.3767743169685817,0.0441078990496537,-0.2187550232284466,150.31175918739382,151.34975476658704,135.4773491879134,153.87771661559515,134.47136465618473,130.70574201429758,680.1480662213087,946.4649864446616,1207.687116721342,2162.3919031303435,2698.913864909554,2099.663621933866,wbs5,27.996,279.96,2017,1581.2967951919652,342.2687678292091,273.1210121169404,511.71968231339116,274.9537701884723,275.08188500358625,308.06604808211455,271.04481637318924,291.82914080524205,2017.0
los1,2018,43.14323135,-116.7361871,2018-06-27,135.43,55.25,298.72,los,peak production,,,circular,60,190.68,0.3613140181706147,12.856845899315358,0.1627948640906463,0.1694361130675539,0.0947378683460993,0.2120028198387279,20.48830814144339,0.1444410127484788,0.481880514525541,0.4210548133887276,0.0680831244352265,-0.0682031221228402,0.209756812940855,0.3533111307451765,0.0622983868808173,-0.1965419726459556,147.17489387222338,156.02348565607605,130.3877897741003,166.2293685975467,129.31682848791954,122.49280349386508,606.1787268994943,885.0195264268199,1033.2669079580317,2196.9308264812803,2522.843168776651,1828.5151588935328,los1,50.486000000000004,504.86,2018,1856.9323140441502,399.36008261283973,381.4184751679044,387.26741237993195,400.61921909883137,399.4440734717902,361.88377950666467,361.04322524551503,372.21852788787805,2018.0
los2,2018,43.127015833,-116.7368355,2018-06-26,55.72,96.18,147.02,los,peak production,,,circular,60,151.9,0.4199333577120518,12.535850224933,0.1822765888962076,0.1962365321880573,0.1260489610091311,0.242207570148372,23.480402264529594,0.1759322472214753,0.5046307408935848,0.4662886137855656,0.039048938865948,-0.0574115423311145,0.2440704692121725,0.3403744567440652,0.0746054205625168,-0.1923834605991709,148.98353815891775,161.3080686333942,127.65912902681944,174.67202144291346,125.86890468632603,117.43899694750118,561.8209414125203,819.8735189443606,905.9661201700897,2220.9848216470964,2485.280873858688,1720.088250325659,los2,53.976,539.76,2018,1777.0668273473525,380.13556616223696,431.99777480446585,416.57271871369886,431.1131372484246,429.7268836923535,414.72695501144807,429.28527327181666,388.55271770358354,2018.0
los3,2018,43.128021228,-116.7388411,2018-06-26,58.59,97.97,133.25,los,peak production,,,circular,60,156.56,0.4389374398501275,12.361019458044812,0.1903022729726776,0.1994766258063101,0.1594106760392674,0.264630751594899,25.45723385713512,0.1966318878169326,0.5096557993778263,0.4645880350372071,0.0439088618244658,-0.0314748645407822,0.2654538060779344,0.3575487882016554,0.0878797196142145,-0.195413831156808,146.79682659708666,158.6437813377219,122.64665841070394,171.98762051479622,120.73437713688124,112.7985582000755,555.6502638790719,835.8131220556917,940.5739698490784,2419.564109242835,2569.6423595850447,1750.0492738167247,los3,57.147000000000006,571.47,2018,1649.5405578140767,422.66257995228113,438.08908690405696,425.0489838690912,467.8708494512749,442.0198995080903,407.49523306871004,458.9810640249239,389.98132622554795,2018.0
los4,2018,43.124853241,-116.7540157,2018-06-25,49.15,92.58,94.29,los,peak production,,,circular,60,141.73,0.3923692504415898,11.553927641419907,0.153720511690009,0.1759021068533747,0.1019632594185099,0.229901610022421,22.21715084515711,0.1583799011226948,0.5000000861692356,0.4362396538561137,0.0663769153502408,-0.0523660887755391,0.2252756570795861,0.3466017289339647,0.0707786996307868,-0.1954891160758478,147.57756476836653,156.5254427940484,128.12925723050435,166.71187413199402,126.68697120132646,119.5588354757558,547.1568268187141,825.9615994824642,972.6462320776236,2231.415008518871,2476.2019487037223,1818.8783881475008,los4,60.657,606.5699999999999,2018,1812.065506981196,400.41468655689255,343.2763190753225,363.5129565571166,379.0973603963393,386.6778218449864,355.2443721492673,373.6880529355391,372.75252407855567,2018.0
los5,2018,43.127137719,-116.7549636,2018-06-25,18.02,74.52,192.83,los,peak production,,,circular,60,92.54,0.3753358195813162,11.718410611176656,0.1491127384395508,0.1773973805026682,0.0746558559089805,0.217817018914013,21.08562964806854,0.1465809943713163,0.5046652251192025,0.4384828697566389,0.0716240922267417,-0.0751659222071325,0.2143023527946669,0.3470002726473223,0.0641168504841509,-0.2021496621354029,149.53222187931576,157.33456473095885,130.6995700080271,166.09899284922483,129.2070418641717,122.30364318649106,567.095565962168,830.7737686897692,985.16214120857,2170.339783460301,2521.9594902108856,1869.967816308696,los5,34.516000000000005,345.1600000000001,2018,1747.2900671309444,350.3806284548607,325.7660894842703,338.8767137298907,348.99639625414443,351.3070623078526,350.68899600771994,327.1645874979263,373.55392191453694,2018.0
mbs1,2018,43.064119139,-116.7489159,2018-07-19,70.78,82.48,481.94,mbs,peak production,,,circular,60,153.26,0.5135809356432058,10.503605640695236,0.1964827096977131,0.2136015648847638,0.1956135584855889,0.2903349020120905,28.247253942373685,0.2193632909572944,0.5289481391023921,0.5147123359561417,0.0129288806620689,-0.0004254312698436,0.2885919781796822,0.3169486793567967,0.0964013319378488,-0.1748716190311339,146.8676485353596,164.1231206544034,121.84264276818872,183.08976834775524,119.7985857725198,110.62239763091632,432.0212548580075,704.8700721822543,733.7180588160863,2288.326231539505,2287.9529317426645,1538.642788075773,mbs1,64.592,645.92,2018,1848.9439949144405,445.5320930179685,487.41228786846835,457.8748840056597,455.5898791855443,514.2925689521273,433.9359648852808,541.6360425708518,452.2793894277708,2018.0
mbs2,2018,43.072781143,-116.7701807,2018-07-18,63.04,145.92,350.58,mbs,peak production,,,circular,60,208.96,0.529078900501989,11.518036102013411,0.2313813325911785,0.2297320649475367,0.2279318867571284,0.3018219917892442,29.334598749764297,0.2288912385714541,0.5519503631479564,0.5318002548530287,0.0170973192582265,-0.0034675324902562,0.2979042006796614,0.3213762172523758,0.1039981223778894,-0.1779511773640082,146.0608179214134,162.57448108399186,119.33698891072912,181.02796211815144,117.20665052841608,108.38241289243074,407.3682076022969,686.8434942045685,727.3870697770279,2360.831766726736,2379.6580391805624,1495.353958999972,mbs2,46.283,462.83000000000004,2018,2019.900585691656,552.6596544787943,558.6438358984346,563.5058592393743,576.5678939976497,627.2600247700664,514.8429133641716,494.7787340472126,432.34129392117916,2018.0
mbs3,2018,43.071059894,-116.769988,2018-07-18,66.49,60.69,477.7,mbs,peak production,,,circular,60,127.18,0.5219651426309275,10.308345592016169,0.1963474460328327,0.2272858280433091,0.1795466445674126,0.2952757056953537,28.72152077710059,0.2228228739095378,0.5496644856453423,0.5344702152490826,0.0132315704965628,-0.017359779979549,0.293487912868307,0.3215963523147942,0.0976760726957983,-0.1861095125411054,147.9049227334752,164.93622930183776,121.84401453401736,183.4664249234803,119.65588153985988,110.50491282729502,424.9436867828399,694.064231415756,724.983042273429,2305.85948951881,2389.7939054864446,1605.3384236082509,mbs3,50.766000000000005,507.6600000000001,2018,1680.1527157917517,368.5039692864052,453.79300695289396,413.8590041224387,409.8916374190553,484.1625114370106,398.0671771235344,485.19124620286317,446.3236623157205,2018.0
