ID,Pasture,Treatment,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,long,lat,PP_g,ID_yr,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
62,E,IMP,2021-04-13,2021-04-13,2021,4,16.0,19,1160.0,-81.2,27.1809,29,62_2021,0.5814672448649593,12.078719483909106,0.2954990679171092,0.3059546864586053,0.2521806439071965,0.3505245252218633,33.70340320953147,0.2769007181642811,0.6243685199854048,0.6116336690262693,0.0107056758159422,-0.0467385665985876,0.3493377647855538,0.3549274068441279,0.1280391996416539,-0.2164516746065377,145.91463897969572,163.7947407171915,112.8352221040504,183.8788541571783,110.29475219971856,101.94841795672608,386.4198355027583,674.458359012051,702.7939312135919,2656.4124550172137,2917.045571693833,1586.3391912545871,1438.8321717091214,1583.9024908613071,1858.06477254968,1926.1560411521023,1862.9405033436328,1749.0341861550835,2247.856790020046,2139.635666666666,1996.1771420076143,kfold7
63,C,IMP,2021-10-15,2021-10-15,2021,10,39.0,41.33333333,3272.0,-81.2007,27.1886,81.8,63_2021,0.6992731412414518,9.159183377345482,0.3523082992283901,0.2874095973083163,0.4612661229109043,0.440675320122471,42.10728681360568,0.3757769096730675,0.5894352545759294,0.6269422634247093,-0.0202179537190554,0.1330087699094083,0.44445298809148,0.3373408276615197,0.1799017463791313,-0.1507194552104362,138.71162910342545,164.7103320782676,99.02000821140314,195.12471202068627,96.51278788088352,88.59263887258041,275.5687948209621,606.4072819832927,541.2390483073569,3080.202001221395,2357.2490850170307,1134.330832128153,1388.3647049627493,2266.4968724286828,2404.6655356164774,2467.2330015486004,2668.299358172507,2423.796142483764,2789.552865054143,2689.8890476190486,2601.1962512897676,kfold8
63,C,IMP,2021-03-10,2021-03-10,2021,3,20.0,24,716.0,-81.2007,27.1886,17.9,63_2021,0.5627826884083567,13.285304822913629,0.3105626169885979,0.2974029356452305,0.2746886210610016,0.3451957043890232,33.12186666718936,0.2660090228411432,0.6365486747195958,0.5891071117430896,0.0402910611198919,-0.0389913779552846,0.3382689132274956,0.3588410835872258,0.1310808226544315,-0.2125658579300024,145.7699948663523,158.53841269742188,111.16823810145526,173.48091367555358,108.56339841087716,101.30068748904938,367.6795913308319,655.4398603297052,753.7268590639944,2707.489321867414,2929.7600237346987,1540.4977568064498,1766.5505416004544,2526.775798629661,2817.684224975517,2800.353310969194,2639.559306978157,2699.3163284788557,2834.9321471278777,3162.309000000002,3045.6350236340886,kfold8
63,C,IMP,2021-06-14,2021-06-14,2021,6,14.0,22,2736.0,-81.2007,27.1886,68.4,63_2021,0.6686077059129507,10.19059393192174,0.3495146601734209,0.3279481716292745,0.407363960700343,0.4605948978386182,43.5704474185866,0.4231692281662482,0.5856828248139152,0.6327461320351007,-0.0235846850498027,0.0760893509109949,0.4806155422948301,0.4114825231277967,0.1963041290866442,-0.2036154474354663,135.15883617693527,164.01954538287063,95.62935462500371,199.74963952607564,93.4860593243194,86.11352525735462,389.0955704406743,786.2465125987869,694.5546261804061,3533.8969448261064,3049.365815651506,1490.6974119066754,687.0942773927533,1716.0397085340303,1937.5937510000176,1810.062546002646,1870.9480063129104,2025.6207556093018,2011.3338995403678,1682.397142857142,1639.436081976465,kfold8
63,C,IMP,2021-08-10,2021-08-10,2021,8,37.0,40.33333333,2192.0,-81.2007,27.1886,54.8,63_2021,0.7634621130673738,7.618753651364678,0.3963606890402078,0.3005171479980131,0.568392429747608,0.5162103977885806,48.92311689935178,0.479749989222217,0.5534550761472047,0.6513324516160963,-0.0492131432122532,0.2216259483842118,0.5351859303514449,0.3620332636400749,0.2265803623590075,-0.1302642326681794,130.8192325660978,166.28365487478916,88.43679637623703,209.89582929468972,86.2888299794142,78.85233588186696,250.4236588989617,662.8375908663933,483.8445337935293,3621.5325360077672,2300.274525297385,992.4442097826148,767.1613899759838,2344.2927343601023,2463.9981873063457,2651.8518878181376,2668.2932309436446,2755.2763769304747,2863.300047817403,2874.275111111111,2901.4367986511506,kfold8
63,C,IMP,2021-04-13,2021-04-13,2021,4,20.0,24.66666667,1220.0,-81.2007,27.1886,30.5,63_2021,0.5809793436032115,12.23490766739104,0.2998479238601352,0.2954049239943485,0.2837660049836309,0.3598245438298562,34.45177036454737,0.2909154105670753,0.6017983767776282,0.5925673159598971,0.0077189993716325,-0.0175343545361544,0.3608812839291135,0.3640627925228468,0.1351940416167149,-0.2077447235236104,143.18361340576678,162.21820330568497,110.01599695136514,184.34326818019235,107.62917503553352,99.40625861505548,406.3482080361616,716.1083313784802,737.1540824462809,2780.1995528188663,2878.9805391451546,1550.7735271121398,1372.779667302816,1746.4890340583452,1868.3668194906454,2042.361552565517,2039.8287494477638,1883.817890589601,2213.0240108344183,2223.8664285714276,2059.6271546107023,kfold8
64,C,IMP,2021-10-15,2021-10-15,2021,10,36.0,41,1864.0,-81.2001,27.1885,46.6,64_2021,0.6885156207645152,9.361418302235045,0.3439157746391459,0.2840960609562102,0.4411505355118382,0.4261037887135416,40.82360105691856,0.3573378836992406,0.5931448526566296,0.6237231846161864,-0.0168313965234956,0.1174274467596473,0.427527654856309,0.3307792659389907,0.1708996618732141,-0.1528015090042152,139.9271498395317,164.73110227106775,101.2526559117082,193.43818491641852,98.70966538839296,90.62597060346296,277.3346991414386,597.0239930658607,544.3435303393642,2968.7861102970533,2345.6255283715864,1150.854176700994,1547.693436217387,2201.5501136392936,2329.2011931490083,2373.0239148952364,2561.2281033891127,2341.850963369001,2779.8956956282236,2700.98,2693.166534669744,kfold10
64,C,IMP,2021-03-10,2021-03-10,2021,3,27.0,30.66666667,2180.0,-81.2001,27.1885,54.5,64_2021,0.5462275743705766,13.37020887764587,0.2956023410727701,0.2910558787196933,0.2512042896952439,0.3345606726145688,32.099051470811254,0.253375338729006,0.632970683444509,0.5789700828664452,0.0463098041370211,-0.0478757325396603,0.3264404754002997,0.3615261311509213,0.1254254083038292,-0.2171608286211261,146.8596671826991,157.9269060252023,112.61666742258922,170.66208255313504,109.9697850184409,102.7585668977017,385.2296141637624,665.6642103779652,784.8734226652365,2673.567699372322,2954.285847982316,1599.6418969205235,1760.776113362761,2607.191017202505,2618.2010790866684,2718.197307861516,2549.77487572448,2599.3769559457087,2807.683603803259,2627.86,2951.03663062836,kfold10
64,C,IMP,2021-06-14,2021-06-14,2021,6,18.0,20.66666667,744.0,-81.2001,27.1885,18.6,64_2021,0.672848660216717,10.095475981731,0.3518605489247665,0.3252747057133724,0.4199230703649469,0.4667589384455646,44.13009258454126,0.4326522908924076,0.5779143876595092,0.6297906105072567,-0.0257588349021491,0.088624947763976,0.4887095201662875,0.4130561121866801,0.2007427593655119,-0.1985110481196561,134.44386310577784,163.98796592138575,94.54098585063164,200.75405694923697,92.41807543521456,85.09663733643362,390.1424188307792,794.723609055448,692.8921824631559,3587.1046015187817,3012.655291529334,1463.9385265135645,663.7482867234604,1756.9207653564583,1923.7596047175273,1833.8783730603927,1893.2465727674046,2127.6618451414474,2102.074561976867,2113.32,1742.7828167468929,kfold10
64,C,IMP,2021-08-10,2021-08-10,2021,8,30.0,41,3200.0,-81.2001,27.1885,80,64_2021,0.7576010724857928,7.780458575169055,0.3927576380036447,0.2985045367339263,0.5651863033627996,0.5159497445848186,48.8802967475974,0.4845760816007837,0.5415655888702465,0.6437901646942746,-0.0518208175696046,0.2214146256291313,0.5373532567374615,0.3683742094136765,0.2273902637461095,-0.1310575319310364,129.89546979814125,166.0748661178246,88.15265021960985,211.29568783757287,86.09754707380766,78.62202029569222,267.057366896408,695.0191008633809,504.191087001127,3662.572416433573,2324.3536596020995,1011.1474943430394,720.5720755339163,2299.0428576632357,2331.2657537126333,2595.4410713948578,2479.401038520069,2780.968426956789,2752.0596527367115,3022.08,2421.0583974299143,kfold10
64,C,IMP,2021-04-13,2021-04-13,2021,4,41.0,42.66666667,3508.0,-81.2001,27.1885,87.7,64_2021,0.5737288821406945,12.382783948892875,0.296189381253872,0.2909007720263563,0.2776904505801791,0.3534014671560617,33.864495035866305,0.2832342074217994,0.6001559887142933,0.5870571412128488,0.0108264327997089,-0.0201380921009134,0.3539404824815502,0.3614325516511122,0.1318823752465619,-0.2064677544678637,143.843770925218,162.04291739460916,110.8648192961476,182.9930104409573,108.44124348423024,100.21765237874956,410.9141434951831,713.7485775125804,743.3167312147787,2742.2531159324344,2854.365615001333,1549.9765703823452,1441.923702913036,1790.0871597670018,1871.8475044514776,2088.7266099936014,2080.0741794785763,1892.977418800395,2399.070807048035,1650.08,2130.8202590489946,kfold10
65,C,IMP,2021-10-15,2021-10-15,2021,10,36.0,39.66666667,1576.0,-81.2005,27.1891,39.4,65_2021,0.6864955007543613,9.5305032690002,0.3481414585179253,0.2794677316759301,0.4562752452572668,0.4312981556287805,41.230857466517264,0.365445196079478,0.5820688133839272,0.6128191076951797,-0.0166821565374157,0.1312711486003954,0.4323675757638465,0.3360929595670452,0.1755432575339792,-0.1489498697649807,138.17077145291103,163.3086931861317,99.7444723722687,193.1980564810632,97.3172202290759,89.36246021381947,279.6462246511268,615.550255564638,562.2456701782963,3042.3128976728017,2335.4138339443234,1133.7058238202278,1489.6924387733525,2369.5913204868325,2433.2314122395983,2599.76087565068,2820.0333919283567,2539.324483648569,2968.551482976999,3034.6856666666663,2684.982175841133,kfold4
65,C,IMP,2021-03-10,2021-03-10,2021,3,24.0,27.33333333,1816.0,-81.2005,27.1891,45.4,65_2021,0.540467640760185,14.014698836493183,0.3068841451608352,0.2970852478390647,0.2634381100369611,0.3435757731590332,32.753731494180265,0.2665585216367602,0.6204515854176907,0.573396752276718,0.0417677677648756,-0.0472756789913341,0.3387538699231344,0.3816615934926258,0.1315323235199297,-0.2234854042020034,145.5619180522803,157.0008519449635,110.18809149475553,170.20127057876587,107.5631421982038,100.38933049904549,430.3776722336372,722.1309308691897,841.6864506707055,2822.3057751554056,3090.703386023912,1639.8552182910578,1486.7139489017275,2675.057849796697,2883.623032717672,3218.150504187435,3148.061692850469,3164.7490219341735,3133.18878090393,2183.196047619047,2524.455846651562,kfold4
65,C,IMP,2021-06-14,2021-06-14,2021,6,11.0,18,1620.0,-81.2005,27.1891,40.5,65_2021,0.6653477078147224,10.290551953989764,0.3484265964502934,0.3242207754179194,0.4103730300667197,0.4606869117584287,43.56145105234837,0.4233427374785591,0.5834263422951841,0.6258926316769977,-0.0204801166739271,0.0806904493941338,0.4783590238967779,0.413650517585543,0.1976666569041154,-0.2023406727337328,134.649854276964,162.7161866757733,95.15661149155808,198.16912386641232,93.0466065112781,85.78545298452423,385.5792681469112,789.6115172994803,708.3526545919619,3560.202341371033,3043.4903413912584,1491.1780688300205,680.6925733367589,1787.3952673387462,2062.4407664279406,1902.1540108557028,1994.755771529474,2167.2212830276344,2211.1197122376225,1984.7068,1946.5748392229234,kfold4
65,C,IMP,2021-04-13,2021-04-13,2021,4,30.0,33.66666667,1228.0,-81.2005,27.1891,30.7,65_2021,0.5573780795367713,12.968096246390056,0.2955302469330246,0.2859189598946303,0.2742564423260348,0.3473634021440052,33.22802191087224,0.2775052825124307,0.594374711086184,0.5730559630964857,0.0179788743650973,-0.023133664488192,0.346500339922232,0.3686968049250748,0.1304658552317046,-0.2088419056715204,143.051157129984,160.0012242399298,110.74419056730444,179.86024241390993,108.4159935184381,100.4069508903722,426.2238412859951,737.7826510144422,787.419765507203,2768.3133236551303,2899.349101087265,1576.6585993398292,1448.7613834070587,1999.1307785031975,2020.9098567883725,2374.2186907820264,2298.7180604359714,2150.9809761805527,2564.3919796627424,2126.6577619047616,2362.8597708889993,kfold4
66,C,IMP,2021-10-15,2021-10-15,2021,10,39.0,42,2076.0,-81.2005,27.1865,51.9,66_2021,0.7158210859146298,8.919952948710682,0.36990241680443,0.2647417577684971,0.5321945720512408,0.4624296590611805,44.038055664702654,0.3998313782781995,0.5652585484506342,0.6008190902027899,-0.0179456803381527,0.2035098357555961,0.4673114263820987,0.3361539970530222,0.1960637770899957,-0.1252058415355827,137.42953796126164,162.88181503389427,94.51122478800632,193.10072727890235,91.91778404797618,84.43276137894439,263.4200182965473,596.4884738685824,536.6295093334755,3248.389091352384,2146.639318096469,988.9661836002068,1440.4126645302656,3042.9920110047055,2895.6418002377764,3290.573793051251,3438.239147286998,3073.6865158442,3482.1730613996856,3649.76,3183.562228985927,kfold5
66,C,IMP,2021-03-10,2021-03-10,2021,3,66.0,75.66666667,4272.0,-81.2005,27.1865,106.8,66_2021,0.5012911238680349,15.52374315776267,0.3053043280458353,0.2498252172788853,0.305740923106384,0.3272375586287058,31.07445626563051,0.2447765381530529,0.5844340892542578,0.5009088175021514,0.0702807618715595,0.0002911201887801,0.3138146339705262,0.3806962821117146,0.1308613179744667,-0.1949928662549795,142.12455629825345,148.8317588595663,107.95668338907254,157.38803522927196,105.54934402814035,99.27121120687696,431.97002240016826,746.3061144991071,947.9700362392427,2866.276355298369,2848.7935305482874,1516.4839799975089,2057.0143779134683,4724.204707885747,4259.879250119454,4072.311762715748,3727.6835170877675,4709.400598845199,3507.291132029922,3247.64,2264.8366146648086,kfold5
66,C,IMP,2021-06-14,2021-06-14,2021,6,82.0,94,13788.0,-81.2005,27.1865,344.7,66_2021,0.6918849850826236,9.449032192601646,0.3570490312708355,0.3006075971756856,0.4735444235420741,0.4785661451589751,45.28468620163069,0.4448427134269853,0.5582309821412604,0.6171099806164141,-0.0269865874214893,0.1489247974436718,0.5056520043250587,0.3921988624477965,0.2094477200157455,-0.1634674853075031,135.20231008421848,165.30422979438055,92.75033738121144,201.02137225470196,90.43539696850326,83.18338304734831,371.43471937732096,746.888245546355,635.2975456635573,3603.5931307001465,2640.2097802850653,1263.5070034322464,729.7761765318907,2075.150611811182,2173.855122815641,2339.6303305803735,2660.3867633720297,2520.7039425652865,2877.7453058909136,2073.0360000000005,2013.7073165301763,kfold5
66,C,IMP,2021-08-10,2021-08-10,2021,8,49.0,54,3508.0,-81.2005,27.1865,87.7,66_2021,0.7788584179837449,7.1636114245603215,0.4043598692322658,0.29601538100175,0.5950866432879757,0.531212434672295,50.31004366264187,0.4937112734476542,0.5614774559047756,0.6553620554322925,-0.043625540399615,0.2514614483951038,0.5580571915492586,0.361067654176832,0.2367812877891768,-0.1217263433870483,134.04213974462624,168.1324535288227,86.6563895438604,207.51774358527808,84.17425984420838,77.0996742534034,257.318748340361,624.0922189571047,461.9616911165025,3714.8707960090046,2220.648460447836,942.176446524494,757.3277410719991,2736.3018946607026,2849.1440949032335,3310.2279797744854,3277.0623702021967,3001.0296462336382,3327.64190404779,3250.2,2966.825167690352,kfold5
66,C,IMP,2021-04-13,2021-04-13,2021,4,18.0,22,2744.0,-81.2005,27.1865,68.6,66_2021,0.5218256653522129,14.16490005316738,0.2911578352070343,0.2488997914371107,0.2994847035413278,0.3308346844994417,31.571810965781932,0.2576935348922878,0.5632621621782762,0.5149936933659757,0.0400168883897375,0.0090967695290757,0.3233976656015946,0.3691520052984144,0.1276714406573197,-0.1895778385766298,140.75195458711156,153.6805657102554,109.72409063408938,169.44328304241805,107.58207618598152,100.2144630846728,437.1641636605685,764.5988795192955,876.0352750952297,2786.296473721158,2736.2938319051955,1502.1029771214153,1873.0960218208165,3147.318910173168,2638.302827613287,3040.6408893233483,2695.133508785441,2883.451825928708,2983.3245941900946,2388.54,2418.7500117883114,kfold5
67,C,IMP,2021-10-15,2021-10-15,2021,10,39.0,48,2380.0,-81.2011,27.1868,59.5,67_2021,0.7117781844611046,9.113888845682476,0.3726809298424378,0.2636345307697411,0.5368062996172902,0.4652651297739628,44.24695388338349,0.4084921022213358,0.5482252375518037,0.5932885491650794,-0.0228070645438804,0.2071962620796821,0.4702360495143405,0.3429838146192183,0.198733271981399,-0.1248125322747941,134.68168272885308,161.86144748101876,93.62776041534669,195.48480015078883,91.26043581615356,83.72811522978222,268.8277627908552,632.0054329180863,554.7724786428125,3307.854154714986,2169.6020466967952,993.702598499474,1290.5812724735795,2931.5411051468536,2822.2062717763743,3096.345940997678,3368.747750520165,3044.21130793591,3486.386900137209,3634.84,3460.0862727027693,kfold6
67,C,IMP,2021-03-10,2021-03-10,2021,3,34.0,38,3704.0,-81.2011,27.1868,92.6,67_2021,0.5124842348596543,15.202459429361468,0.3087791380908805,0.2631634313155984,0.3017751863035659,0.3363030956242088,31.9164771880844,0.2528359285390937,0.6021424482987487,0.518256212976642,0.0704060285475006,-0.0078436765055334,0.3180147182744658,0.3857425257808284,0.1358800087136194,-0.2042609466094601,140.347972025781,147.7721187570346,106.87398110407467,157.46314881545223,104.66100840467809,98.47269526863307,391.88841191972847,731.4929616217694,938.037017228254,2917.598136767875,2948.6870681690725,1558.2852934407683,1828.9175802970474,4517.477664153324,4341.172116661281,3448.2384704630977,2837.4767757742925,4278.48395389261,2560.7307164187155,3504.56,3324.3198027831486,kfold6
