Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
112_2020,2020-02-03,0.5352416907543103,12.92998988174526,0.27156337973310396,0.31018233927062927,0.17559733977519495,0.3253047819005226,31.23687843405102,0.24238800000000002,0.6570039510101281,0.6034657859252053,0.049337730905452196,-0.10077069998594662,0.3186325947083841,0.37191222,0.11674615500000005,-0.24893276000000003,151.6263817361264,160.85567148588277,116.59191741723535,170.82125473762784,113.68461023182785,106.41852291546358,408.0,662.5,791.5,2614.5,3200.5,1833.5,,,,,,,
112_2020,2020-02-08,0.519942813440333,13.70124518110496,0.2770045454069051,0.30059758129545155,0.1991988448110308,0.32971763988617697,31.463777129756764,0.255456,0.6244008472902471,0.5775649132046099,0.0431181839837781,-0.08234846331356119,0.3276400971824046,0.39484608000000004,0.12172245500000001,-0.24849365,147.47838442167262,158.74031400970196,113.83942719019709,171.48152819240468,111.25816710382847,103.9840656824288,470.5,759.0,879.0,2783.0,3282.5,1858.5,,,,,,,
112_2020,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-02-18,0.5268901061329315,14.206067553589914,0.2974315252600588,0.3260313900917419,0.19260598987560082,0.3332780313788427,31.814373357394075,0.259074,0.6453941108718514,0.6027777553862947,0.04041762445678619,-0.11119063987261124,0.3324807844071179,0.40031692500000005,0.12248212500000003,-0.26421589,148.4750463805045,160.01868435963752,114.07685198657092,172.90060909110002,111.40578849949682,104.06296162119213,468.5,750.0,862.5,2783.5,3480.0,1884.5,,,,,,,
112_2020,2020-02-23,0.5780938755694283,12.089515064608825,0.2921698977644822,0.33143803707593256,0.2194874378271987,0.3621610449200521,34.61767412792233,0.29079,0.6476466891702248,0.6275785806256153,0.01748988387250207,-0.07766370694063503,0.3683793236936,0.38760368500000003,0.13409988000000003,-0.25139701999999997,149.7121439051018,165.35451466870063,112.00289897332593,182.26295546494856,109.09170899787787,101.25992160848782,440.0,707.0,756.5,2829.5,3306.0,1811.0,,,,,,,
112_2020,2020-02-27,0.6054067565076623,10.76578585242449,0.2804748285588422,0.31252419339875875,0.2538059314722598,0.37491654287094844,35.897022654947456,0.304554,0.6288266640046396,0.6233209134841495,0.004448738131224808,-0.02864995410211462,0.37901977349328075,0.36869434,0.14001500500000003,-0.22450353,146.61783837857342,165.7980390765363,110.29976209111413,187.18106971956092,107.60743611634567,99.46905246229913,392.5,681.0,693.5,2822.0,2988.5,1679.5,,,,,,,
112_2020,2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-03-04,0.5974423355388099,11.928380291474053,0.31007853963911064,0.32339137164312254,0.27786482289682035,0.37913378621418736,36.17591661854959,0.311064,0.6314153358938077,0.6196536575160968,0.00956316649024578,-0.035239180725757754,0.38834419880301896,0.38356707500000004,0.14514391000000001,-0.22969325000000002,147.41968984829077,164.96557213939258,108.27671487574695,184.22613460703116,105.39463659867874,97.56808131576001,434.0,710.0,738.0,2928.5,3142.5,1655.0,,,,,,,
112_2020,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
