Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
FE-20,2023-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-06-25,0.4892298197348989,9.318006955103058,0.1575700039579187,0.2203851093291374,0.1203242767386611,0.2872084493288708,27.742456848539828,0.2195639999999999,0.5380171386292935,0.5176455566816645,0.0190392578273184,-0.037854645421304,0.2885328971580416,0.348812805,0.09265964,-0.20952363,147.9623804137908,164.54210136838526,123.51320654164834,182.96844535025335,121.54018123902247,112.64864526919698,491.0,775.0,820.0,2393.5,2580.0,1878.0,,,,,,,
FE-20,2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-03,0.4801013249433103,8.856044014592069,0.1445605775170332,0.2112475494258317,0.1143990783894464,0.2860762916628883,27.561265880175306,0.213918,0.543419435089072,0.5033362344067305,0.0368039204000402,-0.0305811080743235,0.2807776402514825,0.354202695,0.094259435,-0.212296265,146.8272629392753,160.73466732807242,122.62880189498092,176.6695723233669,120.7842399196656,112.6363634837826,465.0,766.5,856.0,2438.5,2591.0,1937.0,,,,,,,
FE-20,2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-10,0.5213093316608437,9.977659970999692,0.1888643415249535,0.2278439715554507,0.1855766022432689,0.3125644012704192,30.082830086877657,0.24522,0.538005468213252,0.5237105929608444,0.0124308809746954,-0.0032028461470447,0.3145256667958888,0.350310605,0.10755606,-0.19749439,145.58032177417272,163.55968498767595,118.30384947172683,184.00538148094475,116.2049533883467,107.41761160397256,468.0,765.0,796.0,2532.5,2546.5,1738.0,,,,,,,
FE-20,2023-07-11,0.4886903432357978,8.724130657601547,0.1459253271998061,0.2141427889039835,0.1166322787712058,0.2882480564040004,27.819590394462416,0.214446,0.5512540853565082,0.5111540316155814,0.0365597589873166,-0.029665226773978,0.2812827384669348,0.347586625,0.09512564,-0.21001833,146.93035506347422,160.93972328683142,122.63346443850403,176.948987351219,120.77791414907824,112.61579660625948,439.5,739.5,827.0,2411.0,2556.5,1906.0,,,,,,,
