id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,Year,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
wbs2,2016,43.170171842,-116.7223203,2016-06-09,163.01,252.91,,wbs,peak production,,,circular,60,415.92,0.2568429590347598,12.914431551316545,0.1225379813650476,0.139631775105372,0.0002533912038595,0.161688983842458,15.45141194126864,0.0878911006554312,0.4692290919419076,0.3675804853727562,0.1295077796964291,-0.1222576136999446,0.1582660068375385,0.4072277164645622,0.0397444484066666,-0.2351759830089958,148.08803943239135,148.57063439779148,135.4378655530398,150.88072712574302,134.92481495786078,132.1515671801792,754.93383540222,1049.487480809295,1345.1992741434224,2275.9085825847783,2909.27056984114,2271.4892107482574,2016,1217.2529267804944,112.17580458782838,98.62026119711925,121.60781386221083,122.18069391246082,120.08195179321864,196.76501152144417,181.72769999999988,151.26973073451845,2016.0
wbs3,2016,43.17160272,-116.7223271,2016-06-14,178.16,241.01,,wbs,peak production,,,circular,60,419.17,0.2353762779792558,12.506893320918469,0.1123698932640581,0.1285568773423321,-0.0186930493142431,0.141706301762935,13.629184618026176,0.0684344988887653,0.4611167332407187,0.3552359131363571,0.1395615005744139,-0.1307463649815382,0.1371986523985943,0.3801596193392026,0.0305317780683031,-0.2202804541363228,149.15255138059882,149.08759644705782,139.50217780047993,150.87861953079695,139.37975158165807,137.68322565148063,717.7929323184271,994.9790333879628,1284.973513429293,2074.3737757571603,2702.23770298641,2155.199319770624,2016,1553.7585128750402,109.42551123204709,66.47960587541921,101.42967565965506,88.79981506074266,88.50376215476174,160.7274143729687,136.75715,120.73263526484897,2016.0
los1,2017,43.14323135,-116.7361871,2017-08-14,214.05,194.05,433.36,los,peak production,,,circular,60,408.1,0.2408147516007018,16.884579190083315,0.1601108966789446,0.1632569290648715,-0.0128118323421409,0.1400520531003562,13.551279646839184,0.0648201268742688,0.5059152126963178,0.3968438179356932,0.1469412142415506,-0.172548391952321,0.1338443047581179,0.3639028697070222,0.0312192920676481,-0.2233814188605271,150.9839439445824,149.6595318937577,140.24679197410458,150.39678571137387,139.83058448312298,138.35098445996286,657.5443569480619,913.1040938555944,1201.6763824003613,1964.436131617393,2783.273908648843,2014.503329827063,2017,1974.2764822127801,136.09594160978122,298.6938402158906,176.90295024722906,75.17149981159571,73.83153579934813,183.97095538634736,177.10194999999982,127.72109198570186,2017.0
los2,2017,43.127015833,-116.7368355,2017-07-10,155.67,215.99,387.91,los,peak production,,,circular,60,371.66,0.3792420539750533,14.364434292844386,0.1896698655291945,0.1870938191188615,0.1201579763897912,0.224330764135846,21.641223760357903,0.1515577635669282,0.5090509435299001,0.4387961397333314,0.0755663923393575,-0.0710713660566566,0.2206862575649957,0.3530655873452212,0.0699999659696958,-0.1980174816742278,147.97746706014408,155.03322746236867,127.50872557800764,163.28259512302805,125.87702506374596,119.1987460179066,573.2003588644272,842.1067536294336,1010.994588057178,2246.4408779020137,2589.709183452132,1763.8853001316309,2017,2075.607049392118,213.8818301349212,231.13246517074413,188.04797525135209,106.99385245475156,105.72494789567999,184.19092801186082,189.78699999999998,130.90890207881924,2017.0
los3,2017,43.128021228,-116.7388411,2017-07-06,306.01,324.42,383.56,los,peak production,,,circular,60,630.4300000000001,0.391936742467919,14.281412177027349,0.1949490183174449,0.184064622998274,0.1540855563007986,0.2430347166409285,23.26793593577269,0.1673299813298323,0.5082572396760433,0.4276734764922552,0.0833748315048515,-0.0419611821373293,0.2389298097445986,0.3731225390781528,0.0820035515699923,-0.1996591351897828,146.42394347848585,152.07191999011786,122.56341958910546,159.22552266211378,120.7108024283394,114.6157486634842,585.4656712305099,870.0301243080729,1072.9308435534915,2454.753715304309,2668.96946937055,1798.1287898190458,2017,1888.082309628528,222.51520469950415,330.83578140856395,206.99405038591908,109.87504792743661,108.92686734336634,207.74251029949687,191.17859999999996,129.39820295695174,2017.0
los4,2017,43.124853241,-116.7540157,2017-07-18,165.44,316.66,490.54,los,peak production,,,circular,60,482.1,0.2869149112022287,15.426168997716193,0.1620588681553672,0.1581220451231486,0.0490238955115214,0.1741425923220186,16.72814101263606,0.0892801951578933,0.5135469958615286,0.3881390114316964,0.1504090305651656,-0.1138674131883984,0.1616377410713378,0.3726508467255922,0.0509417889004584,-0.2161524288742012,146.3337218310487,145.22571547039814,131.68883830752264,146.40418563278826,130.97064867038193,128.67558240896716,582.2141389635206,882.9068330872113,1211.3701737405552,2187.206814711492,2749.33677124933,1983.1538594423428,2017,2056.840960065427,282.0401185428686,300.4165685288201,204.30451935962793,84.48231287854478,83.53448457816846,190.70730241187587,204.12259999999984,160.179032128298,2017.0
los5,2017,43.127137719,-116.7549636,2017-07-18,134.35,218.91,303.75,los,peak production,,,circular,60,353.26,0.2771737655886783,15.565860337566768,0.1595950136613516,0.1637265444501006,0.025413214717962,0.1673113824646326,16.085512331529877,0.0852330575989807,0.5155410335641073,0.397028053213252,0.1468546189823844,-0.1347089772641055,0.1572621889751549,0.3759399324516878,0.0458614280157464,-0.2245414011045067,148.00506445542862,146.93167473942506,133.94553160170622,147.989872883822,133.2047252993506,130.8886688064427,614.6278876542518,901.6281427348192,1217.3112846941908,2151.197588476431,2819.3442416556795,2043.9662831843325,2017,1852.659125413738,204.58467016053015,299.85705422679854,178.46714913599885,81.38115707268899,80.54869329611084,182.6272413338676,191.2711999999999,162.48951541957354,2017.0
mbs1,2017,43.064119139,-116.7489159,2017-08-08,236.97,208.74,947.57,mbs,peak production,,,circular,60,445.71,0.5104486674373011,11.461340730745098,0.2158359509937103,0.2144781472869866,0.2033704583520298,0.2768930109699804,27.171621987452014,0.1981167734375284,0.5562081437290859,0.5204926570586772,0.0317423747384193,-0.0126954587304469,0.2680084886434525,0.2953539562093785,0.0916596536330893,-0.1658848653917403,148.64658230580292,162.2137947116999,123.49138690586489,176.82208610266437,121.29404065622808,112.638746183338,372.2545786237224,624.4830606609744,690.6766012648305,2138.197196901845,2188.013342486761,1412.1743881251405,2017,2711.4246248522654,321.96285381023847,206.92608078670608,215.33528993492865,149.47201261979734,147.16950999066512,190.21902879726466,161.7718999999998,132.8374318285581,2017.0
mbs2,2017,43.072781143,-116.7701807,2017-08-02,208.93,191.51,425.69,mbs,peak production,,,circular,60,400.44,0.5609250692517299,11.061955917477626,0.2465951808727829,0.2303995470601777,0.2720181652328126,0.317338923399332,30.871939661845456,0.2407780271549786,0.5559752183569439,0.5425635540875055,0.0114594433920688,0.0281137774794518,0.3100039842051665,0.3067988291624351,0.1117722694316432,-0.1623192009466745,144.69586252539807,162.48796272641437,116.90485939525034,182.41279469582489,114.7303213337736,105.81521283990264,352.2141374467289,636.290780725189,662.6274196791663,2363.22841156666,2232.3547816600208,1351.7533009842389,2017,2340.9123359085606,277.4802535692847,195.92568352912633,227.81381515602905,172.2112755451107,170.42379951973012,194.3530069086269,158.15559999999982,127.47804738759697,2017.0
mbs3,2017,43.071059894,-116.769988,2017-08-02,255.01,212.2,604.21,mbs,peak production,,,circular,60,467.21,0.5605871425243207,10.48171035611085,0.2292437251625238,0.2257015579346684,0.2493399582032955,0.3083771517392957,30.17328217525365,0.2303029050871064,0.5594518896681768,0.5463917845421955,0.011362316684013,0.0219235504182624,0.3004240938114874,0.2960705558814075,0.1058401024405664,-0.1610100419474105,146.36973705318823,163.86611986808663,119.2735715353274,182.99952511251493,117.04861754342856,107.94952942768596,340.3410478256329,610.6064405155736,635.102578525902,2260.965791141997,2163.0878816112454,1357.7244702094722,2017,2397.437928673466,279.92905801901384,219.06009884738927,199.40664638351907,169.0466855408979,167.30723963526225,177.8151470523425,175.60384999999977,132.40926318288757,2017.0
